日期,南京市,南通市,宿迁市,常州市,徐州市,扬州市,无锡市,泰州市,淮安市,盐城市,苏州市,连云港市,镇江市
2018-01,1.4624329,3.1870422,0.24563599,2.6108704,0.050323486,1.7944641,3.026886,2.0014954,1.058136,1.6714172,3.450714,0.23391724,1.9057922
2018-02,4.233429,4.7763977,3.735382,4.9306946,3.8818665,4.4599915,5.1806946,4.37796,4.1494446,3.7099915,5.340851,3.0420227,4.4424133
2018-03,12.264923,11.706329,10.846954,12.253204,11.259064,11.563751,12.302032,11.282501,10.952423,10.358673,12.458282,10.128204,11.759064
2018-04,17.82022,17.083893,17.054596,17.943268,17.566315,17.347565,18.046783,16.992096,16.86319,15.699127,18.134674,16.261627,17.45108
2018-05,22.084381,21.693756,21.004303,22.406647,21.455475,21.537506,22.72696,21.279694,21.004303,20.139069,22.90274,20.24649,21.71524
2018-06,25.80655,25.509674,25.822174,26.121002,26.691315,25.41397,25.972565,25.281158,25.365143,24.273346,25.689362,25.421783,25.562408
2018-07,29.342072,29.070587,28.314728,29.459259,28.355743,28.773712,29.44754,28.613556,28.470978,28.201447,29.367462,27.998322,28.98465
2018-08,28.878448,29.220245,28.472198,29.396027,28.288605,28.761261,29.396027,28.692902,28.726105,28.599152,29.327667,28.52884,28.878448
2018-09,24.143341,24.688263,22.895294,24.809357,22.580841,23.955841,25.282013,23.799591,23.44217,23.502716,25.537872,22.803497,24.174591
2018-10,16.977692,17.518707,16.016754,17.760895,15.883942,16.878082,18.479645,16.743317,16.475739,16.40152,18.73941,15.862457,17.05191
2018-11,12.047272,12.982819,10.414459,12.955475,10.101959,11.943756,13.62735,12.0336,11.256256,11.7152405,13.973053,10.517975,12.139069
2018-12,5.441803,6.773834,2.9828186,6.3714905,2.4828186,5.4671936,6.8128967,5.674225,4.053131,5.273834,7.1976624,3.3734436,5.6586
2019-01,3.8241272,4.6698303,1.5467834,4.6444397,1.5409241,3.4354553,5.087799,3.5448303,2.3006897,2.8417053,5.402252,1.5526428,3.7225647
2019-02,4.420685,5.1335754,2.9284973,5.158966,2.766388,4.205841,5.53006,4.2468567,3.328888,3.6179504,5.858185,2.5066223,4.424591
2019-03,12.051422,11.1510315,10.988922,11.914703,11.139313,11.227203,12.000641,10.891266,10.98111,10.096344,11.904938,10.264313,11.44986
2019-04,17.046906,16.134796,14.972687,16.945343,15.283234,16.13089,17.189484,15.830109,15.132843,14.435577,17.244171,14.121124,16.451202
2019-05,21.74295,20.93045,21.291779,21.612091,21.846466,21.489044,21.506622,21.295685,21.408966,20.528107,21.291779,21.162872,21.539825
2019-06,25.414703,24.119781,25.988922,24.90689,26.922516,24.84439,24.707672,24.623688,25.180328,23.832672,24.490875,25.139313,24.902985
2019-07,28.539703,27.629547,27.760406,28.215485,28.018219,28.082672,28.154938,27.996735,27.877594,27.28189,28.041656,27.29361,28.166656
2019-08,28.405548,28.003204,26.505157,28.311798,26.28836,27.889923,28.41922,27.798126,26.886017,26.696564,28.493439,26.32547,28.067657
2019-09,24.133575,23.940216,22.922638,24.115997,23.174591,23.776154,24.268341,23.569122,23.2742,23.153107,24.375763,23.125763,23.916779
2019-10,18.418243,18.619415,16.644806,18.9534,16.3909,18.107697,19.433868,18.01004,17.574493,17.486603,19.582306,16.66629,18.344025
2019-11,12.903351,13.493195,11.07132,13.547882,10.864288,12.772491,13.905304,12.858429,11.911163,12.301788,14.094757,11.155304,12.981476
2019-12,6.867096,7.3788147,4.7518616,7.496002,4.255768,6.6424866,7.9979553,6.615143,5.6229553,6.0467834,8.302643,4.6581116,6.869049
2020-01,5.051056,6.0744934,3.2287903,5.9182434,2.9514465,5.0588684,6.303009,5.2463684,4.019806,4.7307434,6.6350403,3.3264465,5.2326965
2020-02,8.230988,7.846222,6.531769,8.340363,6.412628,7.5513,8.553253,7.3208313,6.9360657,6.3423157,8.793488,5.750519,7.754425
2020-03,12.1961975,11.678619,11.063385,12.23526,11.170807,11.620026,12.475494,11.3836975,11.317291,10.565338,12.631744,10.332916,11.780182
2020-04,15.603058,14.694855,15.032745,15.513214,15.233917,14.935089,15.688995,14.608917,15.118683,13.880402,15.82962,14.202667,15.0659485
2020-05,22.910553,21.963287,21.85196,22.668365,22.55899,22.150787,22.830475,22.0336,21.779694,20.910553,22.957428,20.830475,22.228912
2020-06,25.850983,25.304108,25.253326,25.739655,25.634186,25.53067,25.841217,25.339264,25.36856,24.544342,25.890045,24.794342,25.548248
2020-07,25.523102,25.84732,25.069977,26.07193,25.01529,25.355133,26.376617,25.318024,25.153961,24.902008,26.677399,24.550446,25.50943
2020-08,29.71634,29.776886,28.68509,30.228058,28.274933,29.501495,30.175323,29.34134,28.92337,28.806183,30.159698,28.188995,29.692902
2020-09,23.565338,23.493073,23.446198,23.899323,23.405182,23.57901,24.100494,23.268463,23.500885,23.186432,24.01651,22.940338,23.715729
2020-10,17.222198,17.825714,16.075714,17.771027,15.505402,17.206573,18.208527,17.101105,16.532745,17.011261,18.46048,15.853058,17.362823
2020-11,12.621979,13.799713,10.684479,13.536041,10.286041,12.590729,14.065338,12.707916,11.354401,12.26651,14.4305725,10.662994,12.772369
2020-12,4.1354065,5.3873596,1.8092346,5.0885315,1.7252502,4.002594,5.6861877,4.0592346,2.4498596,3.533844,6.1354065,1.643219,4.283844
2021-01,4.41568,4.507477,1.8473206,4.7652893,1.9273987,3.9410706,4.464508,3.8902893,2.4977112,2.7887268,4.587555,1.3180237,4.194977
2021-02,9.746613,9.125519,7.908722,9.748566,8.131378,8.887238,9.689972,8.678253,8.086456,7.6196594,9.824738,6.9341125,9.131378
